NEIGHBOURHOOD_CODE,count,mean_abs_error,rmse,median_ape
1,247,3384247.739909094,31951768.383790422,0.23935488671628188
10,192,534533.8586004879,1260471.5800651829,0.11225255746190851
11,219,1006662.9396537237,3165508.913058565,0.23887593216456465
12,404,465982.38725785713,1448949.6108984144,0.18245374466901176
13,1118,918476.775669142,5138494.311690125,0.23182723800458424
14,642,586388.7186064854,2235395.9975340622,0.23437849538884847
15,348,660084.7607697031,2752524.2793387803,0.22519815401534304
16,448,793404.0535565704,7960129.546367582,0.09209969052708886
17,385,279120.0885314429,1084117.4093723793,0.0924372778385819
18,350,872559.5609381229,5199556.395272906,0.24473450090492566
19,288,220670.7870081166,329918.28573062626,0.09614913969368194
2,896,1258420.7103289075,12251373.802280102,0.24561632486640228
20,324,250904.88170074875,699116.280899936,0.08505625112628465
21,242,1335606.3375798322,6447852.790124502,0.128292790939008
22,269,234950.6672492826,696317.8234030103,0.06476840731263685
23,790,216340.64403308555,617653.970326556,0.14545003020159591
24,334,204263.65826419354,351678.510051412,0.07891341355845284
25,275,2743462.0869426453,42322320.19083897,0.13583512926829988
26,1037,1044386.2408186633,8783807.974163925,0.2274426502920204
27,522,1374910.404160256,7328461.628371256,0.2335569481251259
28,143,1230361.9261152765,5057055.635203689,0.30194398318127275
29,937,369565.19871869485,2521905.634506719,0.18747623697623023
3,294,409891.0861276747,723823.5517177724,0.11853523412018185
30,584,388039.9121962587,1815693.9727601712,0.2398069732329644
4,226,948253.817558162,5888950.340669233,0.12567882448741968
5,252,565094.6291927758,1881201.3472322903,0.1400218356179047
6,107,1704060.8947972283,4069989.886872136,0.21349026858049133
7,832,791228.8153573474,4026132.57557322,0.24122965494543883
8,158,1629680.3879876714,7959356.008673458,0.18983345638971746
9,432,591343.829766355,2510213.547838472,0.19604391284765615
