REPORT_YEAR,ircc_pr_vancouver_cma,ircc_pr_bc_total,note
2015,28375.0,35720.0,Using Vancouver CMA series from PR - CMA sheet.
2016,29770.0,38085.0,Using Vancouver CMA series from PR - CMA sheet.
2017,29850.0,38465.0,Using Vancouver CMA series from PR - CMA sheet.
2018,35255.0,44855.0,Using Vancouver CMA series from PR - CMA sheet.
2019,39945.0,50230.0,Using Vancouver CMA series from PR - CMA sheet.
2020,22740.0,28485.0,Using Vancouver CMA series from PR - CMA sheet.
2021,53925.0,69470.0,Using Vancouver CMA series from PR - CMA sheet.
2022,48415.0,61240.0,Using Vancouver CMA series from PR - CMA sheet.
2023,54910.0,70820.0,Using Vancouver CMA series from PR - CMA sheet.
2024,47590.0,63125.0,Using Vancouver CMA series from PR - CMA sheet.
2025,36335.0,50640.0,Using Vancouver CMA series from PR - CMA sheet.
