REPORT_YEAR,study_permits_bc_total,note
2015,56750.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2016,65650.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2017,76375.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2018,81615.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2019,86065.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2020,58980.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2021,94070.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2022,110705.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2023,127250.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2024,101595.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
2025,77360.0,Using BC total yearly counts. Category-specific values are deferred pending deeper validation of workbook structure.
