section,metric,value
assemble,listing_rows_in_scope,370045.0
dedup,dropped_duplicate_rows,1710.0
table,total_rows,257841.0
table,total_columns,46.0
coverage,has_property_features_rate,0.9959975333635845
coverage,has_region_rate,1.0
coverage,soldprice_present_rate,0.3066230739098902
coverage,year_min,2018.0
coverage,year_max,2025.0
missing_rate,listing_id,0.0
missing_rate,cdom,0.405183814831621
missing_rate,closingdate,0.8442567318618839
missing_rate,dom,0.035486986165892936
missing_rate,listdate,0.0
missing_rate,listpriceum,1.0
missing_rate,listprice,0.0
missing_rate,originalprice,0.013368703968724912
missing_rate,transactiontype,0.026834366916045158
missing_rate,solddate,0.7243145969803095
missing_rate,soldprice,0.6933769260901098
missing_rate,status,0.013058435237219838
missing_rate,market_key,0.0
missing_rate,property_id,0.004002466636415465
missing_rate,p_yearbuilt,0.05385101671184955
missing_rate,p_bedinbase,0.07805197776924538
missing_rate,p_bednobase,0.07805197776924538
missing_rate,p_bedplus,0.004002466636415465
missing_rate,p_totalbed,0.06578084943821967
missing_rate,p_category,1.0
missing_rate,p_transactiontype,0.9795881958261099
missing_rate,p_dwellclass,0.07805197776924538
missing_rate,p_dwelltype,0.4038923212367312
missing_rate,p_grandtotalfloorarea,0.07801319417780725
missing_rate,p_floorareamain,0.037143045520301274
missing_rate,p_totalfloorarea,0.059602623322124876
missing_rate,p_fullbath,0.07805197776924538
missing_rate,p_halfbath,0.077997680741232
missing_rate,p_totalparking,0.1263530625462979
missing_rate,p_propertytype,0.42475013671215983
missing_rate,p_storeys,1.0
missing_rate,p_style,0.4040435772433399
missing_rate,p_totalareaum,1.0
missing_rate,p_totalbath,0.0668241280479055
missing_rate,p_view,0.3958214558584554
missing_rate,p_addressid,0.004002466636415465
missing_rate,p_type,0.02343692430606459
missing_rate,p_constructiontype,0.29935115051524
missing_rate,addressid,0.0
missing_rate,region_name,0.0
missing_rate,subarea_name,0.01201127826839021
missing_rate,postal_code,0.0
missing_rate,latitude,0.38864261308325676
missing_rate,longitude,0.38864261308325676
missing_rate,list_year,0.0
missing_rate,list_month,0.0
