feature,base_feature,importance,importance_abs,importance_rank,importance_share,feature_group
num__p_yearbuilt,p_yearbuilt,0.09582357621859063,0.09582357621859063,1,0.09582357621859063,property_structure
num__subarea_name_te,subarea_name_te,0.09463591334055792,0.09463591334055792,2,0.09463591334055792,market_location
num__p_floorareamain,p_floorareamain,0.08497304926166029,0.08497304926166029,3,0.08497304926166029,property_structure
num__postal_fsa_te,postal_fsa_te,0.07575412260969046,0.07575412260969046,4,0.07575412260969046,market_location
num__p_totalfloorarea,p_totalfloorarea,0.07185404619513602,0.07185404619513602,5,0.07185404619513602,property_structure
num__property_age,property_age,0.05742363777233696,0.05742363777233696,6,0.05742363777233696,property_structure
num__p_grandtotalfloorarea,p_grandtotalfloorarea,0.05015715086563336,0.05015715086563336,7,0.05015715086563336,property_structure
cat__p_constructiontype,p_constructiontype,0.04886665494546589,0.04886665494546589,8,0.04886665494546589,property_structure
num__region_name_te,region_name_te,0.044807250609214644,0.044807250609214644,9,0.044807250609214644,market_location
num__sqft_best,sqft_best,0.042169719237124245,0.042169719237124245,10,0.042169719237124245,property_structure
num__area_prev_year_listing_count,area_prev_year_listing_count,0.03903909116390652,0.03903909116390652,11,0.03903909116390652,market_history
num__area_prev_year_median_list,area_prev_year_median_list,0.03629233442190497,0.03629233442190497,12,0.03629233442190497,market_history
num__area_prev_year_growth,area_prev_year_growth,0.034470122798764595,0.034470122798764595,13,0.034470122798764595,market_history
cat__p_style,p_style,0.03391935935963173,0.03391935935963173,14,0.03391935935963173,property_structure
num__list_month,list_month,0.032124667179818045,0.032124667179818045,15,0.032124667179818045,market_timing
cat__p_type,p_type,0.02563636509517109,0.02563636509517109,16,0.02563636509517109,property_structure
num__prop_prev_list_price,prop_prev_list_price,0.02205726068212156,0.02205726068212156,17,0.02205726068212156,market_history
num__p_totalparking,p_totalparking,0.021553717635226816,0.021553717635226816,18,0.021553717635226816,property_structure
num__p_totalbed,p_totalbed,0.014902782145611151,0.014902782145611151,19,0.014902782145611151,property_structure
cat__p_dwelltype,p_dwelltype,0.011514553562660719,0.011514553562660719,20,0.011514553562660719,property_structure
num__p_totalbath,p_totalbath,0.011221223710803094,0.011221223710803094,21,0.011221223710803094,property_structure
cat__p_dwellclass,p_dwellclass,0.011220417267770656,0.011220417267770656,22,0.011220417267770656,property_structure
num__p_fullbath,p_fullbath,0.009145081430077194,0.009145081430077194,23,0.009145081430077194,property_structure
num__p_bednobase,p_bednobase,0.009079275260016176,0.009079275260016176,24,0.009079275260016176,property_structure
cat__p_view,p_view,0.007263504628566136,0.007263504628566136,25,0.007263504628566136,property_structure
num__p_halfbath,p_halfbath,0.006069478028068439,0.006069478028068439,26,0.006069478028068439,property_structure
num__prop_has_prev_listing,prop_has_prev_listing,0.003911567290245013,0.003911567290245013,27,0.003911567290245013,market_history
num__p_bedinbase,p_bedinbase,0.0023318615551765937,0.0023318615551765937,28,0.0023318615551765937,property_structure
cat__p_propertytype,p_propertytype,0.0010686765560809746,0.0010686765560809746,29,0.0010686765560809746,property_structure
num__prop_years_since_prev_list,prop_years_since_prev_list,0.0007135391729681202,0.0007135391729681202,30,0.0007135391729681202,market_history
num__p_bedplus,p_bedplus,0.0,0.0,31,0.0,property_structure
