section,metric,value
table,fact_rows_in,257841
engineered,property_age,created
engineered,postal_fsa,created
engineered,sqft_best,created
history,prop_prev_list_price,created
history,prop_years_since_prev_list,created
history,prop_has_prev_listing,created
history,area_prev_year_median_list,created
history,area_prev_year_listing_count,created
history,area_prev_year_growth,created
table,total_rows,257829
table,total_columns,33
table,feature_count,31
table,year_coverage,2018-2025
coverage,prop_prev_list_price_present,0.22855846316744818
missing_rate,listprice,0.0
missing_rate,list_year,0.0
missing_rate,p_yearbuilt,0.05381085913531837
missing_rate,p_totalbed,0.06577227542285778
missing_rate,p_bedplus,0.004002652921122139
missing_rate,p_bedinbase,0.07800906802570697
missing_rate,p_bednobase,0.07800906802570697
missing_rate,p_fullbath,0.07800906802570697
missing_rate,p_halfbath,0.07795476847057546
missing_rate,p_totalbath,0.06681560258931307
missing_rate,p_totalfloorarea,0.05955885489995307
missing_rate,p_grandtotalfloorarea,0.07800518948605471
missing_rate,p_floorareamain,0.03710986739272929
missing_rate,p_totalparking,0.1263317935530914
missing_rate,p_propertytype,0.42474663439721677
missing_rate,p_dwelltype,0.40386457690950206
missing_rate,p_dwellclass,0.07800906802570697
missing_rate,p_style,0.4040158399559398
missing_rate,p_view,0.3958088500517785
missing_rate,p_type,0.023438015118547564
missing_rate,p_constructiontype,0.29932629766240415
missing_rate,property_age,0.09621881169302135
missing_rate,postal_fsa,0.0
missing_rate,sqft_best,0.0676688813128081
missing_rate,region_name,0.0
missing_rate,subarea_name,0.012011837303018667
missing_rate,list_month,0.0
missing_rate,prop_prev_list_price,0.7714415368325518
missing_rate,prop_years_since_prev_list,0.7714415368325518
missing_rate,prop_has_prev_listing,0.0
missing_rate,area_prev_year_median_list,0.0010976267215867881
missing_rate,area_prev_year_listing_count,0.0010976267215867881
missing_rate,area_prev_year_growth,0.019481904673252427
