feature,base_feature,importance,importance_abs,importance_rank,importance_share,feature_group
num__pid_prev_year_property_value,pid_prev_year_property_value,0.7081229361207066,0.7081229361207066,1,0.803529180824298,other
num__PROPERTY_POSTAL_CODE_te,PROPERTY_POSTAL_CODE_te,0.07858204516475667,0.07858204516475667,2,0.08916949749523657,other
num__HAS_BIG_IMPROVEMENT,HAS_BIG_IMPROVEMENT,0.037000335979930445,0.037000335979930445,3,0.04198543521701349,property_location_structure
num__NEIGHBOURHOOD_CODE_te,NEIGHBOURHOOD_CODE_te,0.01120949090941969,0.01120949090941969,4,0.012719758940795077,other
num__LEGAL_TYPE_te,LEGAL_TYPE_te,0.011069155854678487,0.011069155854678487,5,0.012560516377357037,other
cat__LEGAL_ZONING_COMBO,LEGAL_ZONING_COMBO,0.005967985660026781,0.005967985660026781,6,0.006772059460244689,other
cat__POSTAL_FSA,POSTAL_FSA,0.005822382028131306,0.005822382028131306,7,0.006606838477991305,property_location_structure
num__REPORT_YEAR_CENTERED,REPORT_YEAR_CENTERED,0.004119256112540545,0.004119256112540545,8,0.004674248383830027,other
cat__IMPROVEMENT_RECENCY_BIN,IMPROVEMENT_RECENCY_BIN,0.003886905028002091,0.003886905028002091,9,0.004410592361550026,other
cat__ZONING_DISTRICT,ZONING_DISTRICT,0.0036359432264187917,0.0036359432264187917,10,0.004125818178201099,property_location_structure
num__BIG_IMPROVEMENT_YEAR,BIG_IMPROVEMENT_YEAR,0.002935126472460492,0.002935126472460492,11,0.0033305795501444788,property_location_structure
cat__BUILDING_AGE_BIN,BUILDING_AGE_BIN,0.0013087020147899892,0.0013087020147899892,12,0.0014850249924796336,property_location_structure
num__neigh_prev_year_property_count,neigh_prev_year_property_count,0.0010811418593216465,0.0010811418593216465,13,0.0012268053868368098,local_history
num__YEAR_BUILT,YEAR_BUILT,0.0009973471316354094,0.0009973471316354094,14,0.0011317208959093193,property_location_structure
num__fsa_prev_year_median_land_value,fsa_prev_year_median_land_value,0.0009206615259146206,0.0009206615259146206,15,0.0010447033473980295,local_history
num__neigh_prev_year_growth_rate,neigh_prev_year_growth_rate,0.000695729845254528,0.000695729845254528,16,0.0007894663540980018,local_history
num__cmhc_rental_supply_net_change_total,cmhc_rental_supply_net_change_total,0.000642362570124111,0.000642362570124111,17,0.0007289088425685924,macro_temporal
num__cmhc_rental_supply_existing_converted_lag1,cmhc_rental_supply_existing_converted_lag1,0.0006274920866996214,0.0006274920866996214,18,0.0007120348412405171,macro_temporal
num__PROPERTY_AGE,PROPERTY_AGE,0.000563572674955512,0.000563572674955512,19,0.0006395034911914908,property_location_structure
num__fsa_prev_3yr_growth_trend,fsa_prev_3yr_growth_trend,0.0003929687891083833,0.0003929687891083833,20,0.00044591394106171243,other
num__neigh_prev_year_median_land_value,neigh_prev_year_median_land_value,0.0003420494265912427,0.0003420494265912427,21,0.0003881341523210198,local_history
num__fsa_prev_year_mean_land_value,fsa_prev_year_mean_land_value,0.00024815485587131316,0.00024815485587131316,22,0.000281589054505443,local_history
num__neigh_prev_year_mean_land_value,neigh_prev_year_mean_land_value,0.00024081478379775478,0.00024081478379775478,23,0.0002732600457986098,local_history
num__REPORT_YEAR_NUM,REPORT_YEAR_NUM,0.00016116816667430532,0.00016116816667430532,24,0.00018288254529956837,other
num__fsa_prev_2yr_median_land_value,fsa_prev_2yr_median_land_value,0.00015303291050538237,0.00015303291050538237,25,0.0001736512163992202,other
cat__ZONING_CLASSIFICATION,ZONING_CLASSIFICATION,0.0001435636633038473,0.0001435636633038473,26,0.0001629061662691461,property_location_structure
num__ircc_pr_vancouver_cma,ircc_pr_vancouver_cma,0.00012468997554526408,0.00012468997554526408,27,0.00014148960412971155,macro_temporal
num__fsa_prev_year_property_count,fsa_prev_year_property_count,0.00010697177089597499,0.00010697177089597499,28,0.00012138420471204083,local_history
num__neigh_prev_2yr_median_land_value,neigh_prev_2yr_median_land_value,9.575622521948435e-05,9.575622521948435e-05,29,0.00010865757523821196,other
num__neigh_prev_3yr_rolling_median_land_value,neigh_prev_3yr_rolling_median_land_value,3.4659121674793235e-05,3.4659121674793235e-05,30,3.932878632628987e-05,other
num__neigh_prev_3yr_value_std,neigh_prev_3yr_value_std,1.742857866948999e-05,1.742857866948999e-05,31,1.9776751785427187e-05,other
