REPORT_YEAR,mortgage_rate_5yr_avg,mortgage_rate_5yr_end_of_year
1951,5.75,5.75
1952,5.770833333333333,5.8
1953,5.970833333333334,6.1
1954,6.0125,6.0
1955,5.879166666666666,5.95
1956,6.2250000000000005,6.65
1957,6.854166666666667,6.95
1958,6.795833333333333,6.8
1959,6.9750000000000005,7.25
1960,7.175,7.0
1961,7.0,7.0
1962,6.970833333333334,7.0
1963,6.9725,7.0
1964,6.965833333333333,7.0
1965,7.024166666666667,7.4
1966,7.658333333333334,7.95
1967,8.066666666666666,8.52
1968,9.060833333333333,9.1
1969,9.838333333333333,10.5
1970,10.445,10.16
1971,9.431666666666667,9.1
1972,9.214166666666666,9.22
1973,9.594166666666666,10.02
1974,11.235833333333332,11.88
1975,11.426666666666668,11.89
1976,11.780833333333334,11.27
1977,10.3575,10.33
1978,10.594166666666666,11.53
1979,11.975,13.58
1980,14.316666666666668,15.6
1981,18.150000000000002,17.79
1982,17.888333333333332,14.34
1983,13.293333333333335,12.55
1984,13.608333333333334,12.74
1985,12.180833333333332,11.61
1986,11.224166666666667,11.17
1987,11.140833333333333,11.56
1988,11.601666666666667,12.13
1989,12.0525,11.95
1990,13.244166666666667,12.49
1991,11.156666666666666,9.84
1992,9.520000000000001,9.48
1993,8.703333333333333,7.71
1994,9.341666666666667,10.25
1995,9.218333333333334,8.46
1996,7.94,6.94
1997,7.0683333333333325,6.9
1998,6.904166666666668,6.69
1999,7.392500000000001,8.13
2000,8.195833333333333,7.81
2001,7.177499999999999,6.64
2002,6.695833333333333,6.39
2003,6.036666666666666,6.0
2004,5.796666666666667,5.69
2005,5.479166666666667,5.6
2006,5.979166666666667,5.89
2007,6.355,6.75
2008,6.405,6.17
2009,5.053333333333334,4.83
2010,4.815,4.5
2011,4.569166666666667,4.36
2012,4.236666666666667,4.15
2013,4.17,4.39
2014,4.076666666666667,3.98
2015,3.7708333333333335,3.75
2016,3.7008333333333336,3.74
2017,3.7891666666666666,4.07
2018,4.361666666666666,4.59
2019,4.246666666666667,4.08
2020,3.714166666666667,3.34
2021,3.2775,3.45
2022,4.909166666666667,5.89
2023,6.0441666666666665,6.39
2024,5.838333333333334,5.35
2025,5.1066666666666665,5.06
2026,5.07,5.07
